Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
22.03374695777893	0	-572.2009333766644	56.809452307459175	-410.2913447129855	-721.8708387742467	151.0	0.0
43.55341601371765	1	-401.47317379761	53.85404053610778	-218.6864892523206	-554.4328167749869	151.0	0.0
68.80759692192078	2	-197.99228918596	21.7135830025226	-137.06942578631933	-268.98036945133856	151.0	0.0
92.87019777297974	3	-102.55963542356572	21.95657327860833	-51.08937115383883	-181.42476002539485	151.0	0.0
116.41783094406128	4	-74.35590409831914	29.58204629851657	2.728139335640332	-176.7070627688871	151.0	0.0
138.49235677719116	5	-63.02420668640417	31.328607990252234	22.944617160929525	-160.8894946573479	151.0	0.0
160.9219069480896	6	-61.03462246017421	33.86654991286532	25.409810924577165	-161.20533804337379	151.0	0.0
183.32939076423645	7	-54.240539634067524	30.52515845459645	11.260166750625567	-148.29102135060603	151.0	0.0
207.55426287651062	8	-46.3687183866479	30.00585892299736	42.55540057753785	-135.8895327062782	151.0	0.0
231.06213998794556	9	-32.2134809566741	25.06423138358589	56.567795043558945	-107.63528975635634	151.0	0.0
252.88282871246338	10	-25.282432451705763	22.17602100602285	33.967187127691446	-84.28121336102885	151.0	0.0
274.9747018814087	11	-22.890861488605477	16.86018561957821	47.32436802723139	-84.76423885387894	151.0	0.0
297.7706718444824	12	-21.499566973828973	14.141262097846212	16.75659290559678	-66.47676860823086	151.0	0.0
321.60381603240967	13	-20.37201207455531	13.753606151511173	23.378946534390593	-82.94352026405008	151.0	0.0
344.5265188217163	14	-17.632360094665884	10.954723591378071	18.84177388403001	-52.47328492629158	151.0	0.0
367.242644071579	15	-14.288794094742792	10.748967865558305	34.81252631962058	-45.32290663868149	151.0	0.0
390.63144993782043	16	-12.349312798767869	9.969444244389337	21.44520700054869	-48.591609334174294	151.0	0.0
413.3974189758301	17	-9.094880048072998	11.345474030654728	25.498971224053804	-59.80749200745747	151.0	0.0
437.53802609443665	18	-7.6849312811441	10.782378032032964	32.60887030561778	-49.39606753907624	151.0	0.0
461.2580916881561	19	-5.147388259733587	10.932490581890224	35.197017972275546	-40.41638778222549	151.0	0.0
483.8520739078522	20	-3.2895441540329	10.372389078704709	31.182561195457723	-50.65879389834922	151.0	0.0
508.044047832489	21	-2.8427762652816213	10.113364299068124	34.926440727865675	-55.86475078712191	151.0	0.0
532.4292559623718	22	-1.4697206004516579	9.46529719460039	43.29475325648357	-32.80696827431176	151.0	0.0
557.2470228672028	23	-0.24333053438129618	8.222945341174785	37.20141718071753	-22.514072388057954	151.0	0.0
581.8480000495911	24	0.49261251214662616	8.725425812673002	29.745023613594004	-40.61597661630497	151.0	0.0
606.8130187988281	25	1.9592685745401353	8.758525755032293	25.972333729628637	-37.201475548508924	151.0	0.0
630.0996298789978	26	3.560706594539877	8.979690185238304	28.066671088515875	-28.046502493835447	151.0	0.0
652.8444340229034	27	5.211761523553976	9.486023625262488	32.86218414257406	-29.881803050078616	151.0	0.0
674.610298871994	28	7.00380565542391	8.94322062364595	34.40250335693765	-24.077271427145213	151.0	0.0
696.2021169662476	29	7.500480285452373	10.124547391309568	35.2039890203228	-34.82663070657638	151.0	0.0
717.6692099571228	30	9.468653880123359	11.136890787821002	38.70301856183984	-36.46639872978754	151.0	0.0
739.2573268413544	31	10.176340813825764	11.072883264468201	35.07796417687241	-28.93514256552549	151.0	0.0
760.5624070167542	32	10.745761153606393	11.411725668009094	40.337727995795504	-54.32675440970735	151.0	0.0
783.2413446903229	33	12.111805816881986	13.179966691914608	43.017126193787675	-27.554044535392208	151.0	0.0
805.3042798042297	34	12.374866389191862	13.524271685929959	54.30705088796466	-36.470582813872674	151.0	0.0
827.4758439064026	35	11.99919726933957	14.080351969067857	42.83882299083113	-56.8551941487555	151.0	0.0
849.0212388038635	36	10.2343511892799	14.565685029575953	48.02670339909744	-66.04354242499656	151.0	0.0
870.2696559429169	37	9.437508020412816	13.889653408724541	44.625368922363165	-46.44064543768132	151.0	0.0
891.5059418678284	38	9.618297757544063	13.082841131900922	52.26674898159639	-37.63145102433492	151.0	0.0
912.7904348373413	39	10.34240681398084	12.379312891003524	61.66052481536978	-43.68483570636985	151.0	0.0
934.096981048584	40	9.171303328631986	11.726187306332504	51.509562310610875	-34.4673623992971	151.0	0.0
955.2005739212036	41	7.2712539129527025	10.971885891224515	36.24299797812723	-28.388250199032584	151.0	0.0
976.5441408157349	42	8.463225040979959	11.14564493375153	49.202977290109104	-27.892827962381677	151.0	0.0
997.7595679759979	43	7.86068889999485	10.982096387196906	42.914599813908	-26.14463713864911	151.0	0.0
1019.0015168190002	44	5.668078540804001	13.138972676666448	44.10718246193393	-61.561150418039766	151.0	0.0
1040.2971458435059	45	7.388511130772529	10.599515533950113	38.649297922416345	-33.42879411887611	151.0	0.0
1061.5240218639374	46	5.665309348810839	9.807988280292042	39.60982381122337	-25.840488203068546	151.0	0.0
1082.9094417095184	47	5.878923881945299	9.63862389422531	25.80135244228759	-37.56242482564703	151.0	0.0
1104.701964855194	48	6.30771341957182	9.597105677912118	32.31576815503337	-26.542398122902945	151.0	0.0
1126.3295838832855	49	5.288102362119715	9.874022871262511	30.954272246156066	-34.2946162881675	151.0	0.0
1147.7803208827972	50	5.348606134560754	9.81610707423225	33.80767525354012	-23.133908371431836	151.0	0.0
1169.2746047973633	51	5.0502075725126545	9.371447667877348	24.187944027617814	-27.51885286318202	151.0	0.0
1190.8107600212097	52	4.532667385480242	9.726853690623617	27.43869027750148	-27.20508511226941	151.0	0.0
